#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.14662	-9.4871E-05	0.086503	-2.6369E-05	0.052073	-7.1651E-06	1.0934	-0.0013846	0.91097	-0.0035742	0.66667	-0.0021313	0.51134	-0.002943	0.34034	-0.00058324	1.1112	-0.001598	0.91927	-0.00366	0.66643	-0.0021485	0.50622	-0.0032567	0.33274	-0.00061188	0.6739	-0.016598	1.1009	-0.0014018	0.80763	-0.003145	0.53686	-0.0015642	0.36583	-0.00071833	0.47829	-7.2706E-06	0.82199	-0.0039301	0.54946	-0.0017733	0.37763	-0.00059896	0.28343	-0.00016931	0.23094	-9.2859E-05	0.65882	-0.012829	1.1201	-0.0012838	0.84657	-0.0037139	0.54514	-0.0012757	0.38023	-0.000612	0.27008	-0.00036485	1.1704	-0.0092825	1.0422	-0.00039127	0.77142	-0.0050553	0.56096	-0.0025069	0.35469	-0.00056439	0.25901	-0.00035121	1.1385	-0.00060319	0.83409	-0.00021448	0.97337	-0.00027084	0.65733	-0.00018054	0.78883	-5.242E-06	0.78377	-7.6477E-05	0.27287	-0.00013291	0.20175	-6.0843E-05	0.1421	-4.4502E-05	0.087798	-3.3386E-05	0.050311	-8.9513E-06	0.27646	2.9118E-05	0.20554	-6.0073E-05	0.14185	-5.1267E-05	0.087011	-3.1846E-05	0.053331	-3.6469E-05	1.1207	-0.0014252	0.84266	-0.0037238	0.53348	-0.0016716	0.3793	-0.00088066	0.47552	-9.4429E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0909	-0.0013833	0.90794	-0.0035797	0.66589	-0.0021429	0.50954	-0.0029488	0.34014	-0.00058301	1.1088	-0.0016033	0.91613	-0.0036701	0.66565	-0.0021602	0.50428	-0.0032637	0.33253	-0.00061135	NAN	NAN	1.0986	-0.001399	0.80502	-0.00311	0.53577	-0.0015567	0.36553	-0.00071616	0.47828	-7.421E-06	0.81857	-0.0038729	0.54837	-0.0017678	0.37731	-0.00059836	0.28323	-0.00016981	NAN	NAN	0.64817	-0.012441	1.1185	-0.0012822	0.84313	-0.0036547	0.54427	-0.0012682	0.37991	-0.00061158	NAN	NAN	1.1789	-0.01158	1.0407	-0.00039163	0.76801	-0.0050017	0.5595	-0.0024964	0.35447	-0.00056253	NAN	NAN	1.138	-0.00059643	0.83394	-0.00021438	0.97299	-0.00026986	0.65725	-0.00017985	0.78894	-5.3442E-06	0.78371	-7.7501E-05	0.27268	-0.00013263	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1206	-0.0015958	0.83949	-0.0036871	0.53231	-0.0016629	0.37889	-0.00087813	0.47546	-9.5468E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0903	-0.0013785	0.90772	-0.003578	0.66572	-0.0021397	0.50976	-0.0029554	0.34007	-0.00058312	1.1082	-0.0016019	0.91589	-0.0036686	0.66548	-0.002157	0.50449	-0.0032713	0.33245	-0.00061102	NAN	NAN	1.098	-0.0013948	0.80487	-0.003108	0.53596	-0.001559	0.36545	-0.00071693	0.47829	-7.4475E-06	0.81837	-0.0038695	0.54852	-0.0017681	0.37729	-0.00059837	0.28326	-0.00016986	NAN	NAN	0.64775	-0.012416	1.1181	-0.0012816	0.84292	-0.0036505	0.54445	-0.0012695	0.37989	-0.00061173	NAN	NAN	1.1797	-0.011845	1.0406	-0.00039193	0.76767	-0.0050008	0.5596	-0.0024949	0.35439	-0.00056307	NAN	NAN	1.1378	-0.00059822	0.83395	-0.00021399	0.97294	-0.00026961	0.65724	-0.00018013	0.78896	-5.3657E-06	0.7837	-7.7719E-05	0.2727	-0.00013282	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1203	-0.0016158	0.8393	-0.0036843	0.5325	-0.0016657	0.37882	-0.00087893	0.47545	-9.5713E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0883	-0.0013673	0.90667	-0.0035717	0.66522	-0.0021404	0.50936	-0.0029663	0.33991	-0.00058351	1.1062	-0.0016003	0.91478	-0.0036631	0.66498	-0.0021576	0.50403	-0.0032845	0.33227	-0.00061088	NAN	NAN	1.0961	-0.001385	0.80416	-0.0030984	0.5358	-0.0015594	0.36526	-0.00071682	0.47829	-7.5003E-06	0.81739	-0.0038519	0.54829	-0.0017666	0.37715	-0.00059819	0.28317	-0.00017008	NAN	NAN	0.64408	-0.012282	1.1167	-0.0012819	0.84191	-0.0036292	0.54434	-0.0012688	0.37974	-0.00061174	NAN	NAN	1.1839	-0.01311	1.0398	-0.00039043	0.76648	-0.0049919	0.55917	-0.0024889	0.35424	-0.00056286	NAN	NAN	1.1375	-0.00059928	0.83393	-0.00021274	0.97277	-0.00026883	0.6572	-0.00018028	0.789	-5.4106E-06	0.78367	-7.8133E-05	0.27262	-0.00013276	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1198	-0.001722	0.83838	-0.0036713	0.53231	-0.0016662	0.3786	-0.00087874	0.47543	-9.6145E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0866	-0.0013611	0.90591	-0.0035615	0.66495	-0.0021419	0.50901	-0.0029721	0.3398	-0.00058384	1.1046	-0.0016026	0.91394	-0.0036524	0.6647	-0.002159	0.50364	-0.0032917	0.33215	-0.00061091	NAN	NAN	1.0945	-0.00138	0.80378	-0.0030946	0.53562	-0.0015587	0.36514	-0.00071661	0.47829	-7.548E-06	0.81684	-0.0038425	0.54808	-0.0017653	0.37706	-0.0005981	0.2831	-0.00017029	NAN	NAN	0.64179	-0.012204	1.1156	-0.0012851	0.84129	-0.0036151	0.54421	-0.0012676	0.37964	-0.00061176	NAN	NAN	1.1876	-0.014221	1.0391	-0.00038867	0.76585	-0.0049887	0.55885	-0.0024854	0.35414	-0.00056263	NAN	NAN	1.1372	-0.00059899	0.83393	-0.00021171	0.97261	-0.00026773	0.65718	-0.00018029	0.78904	-5.4538E-06	0.78365	-7.858E-05	0.27255	-0.00013267	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1195	-0.0018227	0.83788	-0.0036647	0.53212	-0.0016655	0.37846	-0.00087851	0.47541	-9.6493E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0835	-0.0013445	0.90468	-0.003549	0.66446	-0.002146	0.50832	-0.0029826	0.33959	-0.00058464	1.1015	-0.0016018	0.9126	-0.0036396	0.66421	-0.0021632	0.50286	-0.0033052	0.33191	-0.00061105	NAN	NAN	1.0915	-0.0013665	0.80306	-0.0030857	0.53526	-0.0015572	0.36491	-0.00071641	0.47829	-7.6029E-06	0.81583	-0.0038248	0.54767	-0.0017627	0.37687	-0.00059791	0.28296	-0.00017054	NAN	NAN	0.63748	-0.012055	1.1136	-0.0012896	0.84019	-0.0035917	0.54395	-0.0012656	0.37946	-0.0006118	NAN	NAN	1.1944	-0.016316	1.0377	-0.00038383	0.76467	-0.0049811	0.55821	-0.0024783	0.35396	-0.00056247	NAN	NAN	1.1368	-0.00059793	0.83391	-0.00021036	0.97239	-0.00026628	0.65714	-0.00018036	0.78909	-5.5162E-06	0.78362	-7.9294E-05	0.27242	-0.00013245	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1191	-0.0020296	0.83695	-0.0036521	0.53173	-0.001664	0.37818	-0.00087814	0.47539	-9.6808E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0789	-0.0013094	0.9029	-0.0035357	0.66379	-0.0021508	0.50744	-0.0029965	0.33931	-0.00058593	1.0968	-0.0015887	0.91069	-0.0036267	0.66354	-0.002168	0.50186	-0.003323	0.33159	-0.00061152	NAN	NAN	1.0871	-0.0013367	0.80188	-0.0030683	0.53482	-0.0015556	0.36464	-0.00071615	0.47828	-7.6996E-06	0.81425	-0.0037954	0.54716	-0.0017596	0.37666	-0.00059766	0.28275	-0.00017084	NAN	NAN	0.63149	-0.011835	1.1104	-0.0012917	0.83851	-0.0035559	0.54362	-0.0012632	0.37924	-0.00061179	NAN	NAN	1.204	-0.019544	1.0359	-0.0003756	0.76283	-0.0049625	0.5574	-0.002469	0.35374	-0.00056229	NAN	NAN	1.1362	-0.00059625	0.83386	-0.00020893	0.97214	-0.0002648	0.65707	-0.00018035	0.78917	-5.6102E-06	0.78354	-8.0346E-05	0.27224	-0.00013208	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1186	-0.0023955	0.83544	-0.0036294	0.53124	-0.0016624	0.37784	-0.00087759	0.47534	-9.7375E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0771	-0.0012919	0.90238	-0.0035318	0.6636	-0.002152	0.5072	-0.0030008	0.33923	-0.00058645	1.095	-0.0015795	0.91013	-0.0036228	0.66335	-0.0021692	0.50158	-0.0033287	0.3315	-0.00061186	NAN	NAN	1.0853	-0.0013216	0.80152	-0.0030629	0.5347	-0.0015552	0.36457	-0.00071601	0.47828	-7.7349E-06	0.81378	-0.0037867	0.54702	-0.0017587	0.3766	-0.00059758	0.28267	-0.00017095	NAN	NAN	0.6298	-0.011771	1.1091	-0.0012911	0.83802	-0.0035452	0.54354	-0.0012625	0.37918	-0.00061178	NAN	NAN	1.2071	-0.020714	1.0353	-0.00037188	0.76229	-0.0049563	0.55718	-0.0024664	0.35369	-0.00056217	NAN	NAN	1.136	-0.00059593	0.83384	-0.00020852	0.97207	-0.00026432	0.65705	-0.00018033	0.78919	-5.6409E-06	0.78352	-8.0687E-05	0.27217	-0.0001319	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1184	-0.0025427	0.83499	-0.0036225	0.53111	-0.001662	0.37775	-0.0008774	0.47533	-9.7588E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0719	-0.0012359	0.90104	-0.0035197	0.6632	-0.0021538	0.50667	-0.0030118	0.33904	-0.00058788	1.0895	-0.0015456	0.90867	-0.0036103	0.66294	-0.0021709	0.50097	-0.0033437	0.33126	-0.00061288	NAN	NAN	1.0803	-0.0012726	0.80066	-0.00305	0.53448	-0.0015548	0.3644	-0.00071571	0.47827	-7.8467E-06	0.81264	-0.0037655	0.54677	-0.0017574	0.37646	-0.00059743	0.28245	-0.00017128	NAN	NAN	0.62604	-0.011626	1.1053	-0.0012875	0.83679	-0.0035187	0.5434	-0.001261	0.37905	-0.00061177	NAN	NAN	1.2149	-0.024012	1.0335	-0.00036087	0.76101	-0.0049392	0.55675	-0.0024617	0.35356	-0.00056187	NAN	NAN	1.1353	-0.00059535	0.83381	-0.00020724	0.97186	-0.00026284	0.657	-0.00018025	0.78928	-5.7329E-06	0.78346	-8.1773E-05	0.27197	-0.00013142	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1179	-0.0030122	0.83389	-0.0036057	0.53085	-0.0016618	0.37755	-0.00087701	0.47528	-9.8296E-06
B8	11510	4.07	0.14635	-9.4252E-05	0.086274	-2.6305E-05	0.052043	-7.1799E-06	1.0706	-0.0012236	0.90053	-0.0035186	0.66301	-0.0021554	0.50637	-0.0030167	0.33926	-0.00058846	1.0881	-0.0015414	0.90813	-0.0036093	0.66274	-0.0021726	0.50062	-0.00335	0.33147	-0.00061579	0.62111	-0.014533	1.079	-0.0012634	0.80022	-0.003044	0.53432	-0.0015539	0.36468	-0.00070962	0.47823	-7.8551E-06	0.8121	-0.0037567	0.54659	-0.0017562	0.37641	-0.00059697	0.28209	-0.00017139	0.23051	-9.3519E-05	0.62412	-0.01155	1.1044	-0.001294	0.83625	-0.0035093	0.54328	-0.00126	0.37901	-0.00061091	0.26759	-0.00037391	1.2178	-0.025168	1.0329	-0.0003551	0.76035	-0.0049304	0.55649	-0.0024589	0.35385	-0.00055726	0.2567	-0.00035478	1.1355	-0.00059227	0.83381	-0.000207	0.97179	-0.00026237	0.65699	-0.00018022	0.7892	-6.1435E-06	0.78336	-8.1735E-05	0.27164	-0.00012953	0.20152	-6.0782E-05	0.14201	-4.4558E-05	0.087523	-3.3379E-05	0.050272	-8.96E-06	0.27546	9.7791E-05	0.20532	-6.0476E-05	0.14173	-5.1116E-05	0.086738	-3.1674E-05	0.053137	-3.0955E-05	1.1182	-0.0032026	0.83337	-0.0035995	0.53069	-0.0016609	0.37769	-0.0008714	0.47524	-9.7444E-06
