#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.23851	-0.00026583	0.13909	-6.7334E-05	0.084296	-1.8284E-05	1.0561	-0.00049742	0.94139	-0.0015679	0.77153	-0.0011872	0.64991	-0.0022138	0.4951	-0.00064288	1.0665	-0.00056022	0.94675	-0.0015859	0.77136	-0.0011974	0.64548	-0.0025183	0.48707	-0.00068423	0.77897	-0.012444	1.0606	-0.00050028	0.87236	-0.001578	0.67176	-0.0010493	0.52068	-0.00071907	0.62444	-5.2627E-06	0.8822	-0.001971	0.68178	-0.0011688	0.53247	-0.00057365	0.43375	-0.00023067	0.36856	-0.00017804	0.76588	-0.0089501	1.0717	-0.00044311	0.899	-0.0018183	0.67864	-0.00083796	0.53498	-0.00058434	0.41738	-0.00057448	1.0852	-0.0018205	1.0259	-0.00014499	0.84665	-0.0026588	0.69058	-0.0016488	0.50979	-0.00058151	0.40384	-0.00058423	1.0823	-0.00019718	0.89112	-0.00010051	0.98304	-0.00011027	0.76551	-9.9511E-05	0.86	-2.5433E-06	0.85645	-3.7304E-05	0.42142	-0.00018799	0.3273	-0.00013528	0.23096	-0.00012727	0.14117	-8.5468E-05	0.081474	-2.2929E-05	0.42486	0.00038161	0.33294	-0.00013217	0.23053	-0.00014537	0.13991	-8.1062E-05	0.08626	-7.9887E-05	1.0712	-0.00041492	0.89618	-0.001809	0.66894	-0.0011316	0.53365	-0.00084977	0.62208	-6.8758E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0547	-0.00049922	0.93942	-0.001578	0.77096	-0.001195	0.64841	-0.0022263	0.49489	-0.00064298	1.0651	-0.00056438	0.94471	-0.0015986	0.77077	-0.0012054	0.64385	-0.0025341	0.48685	-0.00068403	NAN	NAN	1.0592	-0.00050127	0.87058	-0.0015664	0.67088	-0.001046	0.52038	-0.00071717	0.62443	-5.3716E-06	0.87989	-0.0019516	0.68091	-0.0011672	0.53216	-0.00057332	0.43351	-0.00023138	NAN	NAN	0.75776	-0.0087574	1.0708	-0.00044346	0.8967	-0.0017976	0.67794	-0.00083418	0.53467	-0.00058419	NAN	NAN	1.0867	-0.0023493	1.025	-0.0001456	0.8443	-0.002642	0.68943	-0.0016454	0.50957	-0.00057977	NAN	NAN	1.082	-0.00019518	0.89102	-0.00010046	0.9828	-0.00010988	0.76546	-9.9141E-05	0.86007	-2.5922E-06	0.85641	-3.7808E-05	0.4212	-0.00018764	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0708	-0.00044728	0.89406	-0.0018	0.668	-0.0011276	0.53325	-0.00084779	0.62203	-6.9519E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0543	-0.00049813	0.93928	-0.0015778	0.77083	-0.0011936	0.64859	-0.0022307	0.49482	-0.00064312	1.0647	-0.00056465	0.94456	-0.0015985	0.77065	-0.0012039	0.64402	-0.0025394	0.48677	-0.00068368	NAN	NAN	1.0589	-0.00050039	0.87048	-0.0015657	0.67104	-0.0010473	0.5203	-0.00071806	0.62444	-5.3908E-06	0.87976	-0.0019503	0.68103	-0.0011671	0.53215	-0.00057335	0.43354	-0.00023146	NAN	NAN	0.75744	-0.0087421	1.0705	-0.00044373	0.89656	-0.0017959	0.67809	-0.00083478	0.53465	-0.00058437	NAN	NAN	1.0867	-0.002416	1.0249	-0.00014576	0.84406	-0.002643	0.68951	-0.0016441	0.5095	-0.00058041	NAN	NAN	1.082	-0.00019581	0.89103	-0.00010028	0.98277	-0.00010978	0.76545	-9.9296E-05	0.86009	-2.6025E-06	0.8564	-3.7916E-05	0.42122	-0.00018789	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0706	-0.00045149	0.89394	-0.0017992	0.66816	-0.0011292	0.53319	-0.0008487	0.62202	-6.9697E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0532	-0.00049612	0.9386	-0.0015774	0.77047	-0.0011949	0.64825	-0.0022414	0.49465	-0.00064378	1.0636	-0.0005664	0.94384	-0.0015988	0.77028	-0.0012053	0.64363	-0.002553	0.48658	-0.00068375	NAN	NAN	1.0577	-0.00049883	0.87	-0.0015623	0.6709	-0.0010478	0.52011	-0.00071817	0.62444	-5.429E-06	0.8791	-0.0019439	0.68084	-0.0011665	0.53201	-0.00057328	0.43344	-0.00023178	NAN	NAN	0.75463	-0.0086743	1.0697	-0.00044504	0.89588	-0.0017875	0.678	-0.00083447	0.53451	-0.00058451	NAN	NAN	1.0875	-0.0027392	1.0245	-0.00014542	0.84324	-0.0026427	0.68917	-0.001641	0.50934	-0.00058034	NAN	NAN	1.0817	-0.00019628	0.89101	-9.9681E-05	0.98266	-0.00010948	0.76542	-9.9379E-05	0.86012	-2.624E-06	0.85638	-3.812E-05	0.42113	-0.00018782	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0701	-0.00047298	0.89332	-0.0017951	0.668	-0.0011299	0.53297	-0.00084883	0.622	-7.0013E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0522	-0.00049561	0.9381	-0.0015743	0.77026	-0.0011962	0.64796	-0.0022477	0.49454	-0.00064429	1.0626	-0.00056914	0.9433	-0.0015958	0.77007	-0.0012066	0.64329	-0.0025613	0.48645	-0.00068395	NAN	NAN	1.0568	-0.00049868	0.86974	-0.0015613	0.67076	-0.0010477	0.52	-0.00071809	0.62444	-5.4635E-06	0.87872	-0.0019404	0.68068	-0.0011661	0.53191	-0.00057327	0.43335	-0.00023209	NAN	NAN	0.75287	-0.0086361	1.0691	-0.00044703	0.89546	-0.0017816	0.6779	-0.00083384	0.53441	-0.00058462	NAN	NAN	1.0883	-0.0030369	1.024	-0.00014499	0.8428	-0.0026434	0.68892	-0.0016395	0.50924	-0.00058019	NAN	NAN	1.0816	-0.00019625	0.89101	-9.9194E-05	0.98256	-0.00010903	0.7654	-9.9389E-05	0.86014	-2.6447E-06	0.85637	-3.8341E-05	0.42104	-0.0001877	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0698	-0.00049353	0.89299	-0.0017931	0.66784	-0.0011298	0.53283	-0.00084881	0.62199	-7.0268E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0503	-0.00049272	0.9373	-0.0015712	0.7699	-0.0011995	0.64738	-0.0022596	0.49431	-0.00064548	1.0608	-0.00057245	0.94243	-0.0015929	0.76971	-0.0012099	0.64263	-0.0025771	0.48619	-0.00068443	NAN	NAN	1.0551	-0.0004968	0.86925	-0.0015583	0.67047	-0.0010472	0.51977	-0.00071815	0.62444	-5.5032E-06	0.87804	-0.0019339	0.68035	-0.001165	0.53174	-0.00057324	0.43319	-0.00023246	NAN	NAN	0.74956	-0.0085629	1.0679	-0.00045032	0.89473	-0.0017722	0.67768	-0.00083283	0.53423	-0.00058483	NAN	NAN	1.0899	-0.0036403	1.0232	-0.00014354	0.84198	-0.0026437	0.68841	-0.0016363	0.50906	-0.00058019	NAN	NAN	1.0814	-0.00019602	0.891	-9.8559E-05	0.98242	-0.00010844	0.76537	-9.943E-05	0.86018	-2.6747E-06	0.85634	-3.8694E-05	0.42089	-0.00018741	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0691	-0.00053604	0.89236	-0.0017892	0.66753	-0.0011294	0.53256	-0.00084884	0.62196	-7.05E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0476	-0.00048437	0.93615	-0.0015691	0.76941	-0.0012035	0.64663	-0.0022751	0.49402	-0.0006473	1.0581	-0.00057331	0.94119	-0.0015915	0.76921	-0.0012139	0.64178	-0.0025979	0.48586	-0.0006854	NAN	NAN	1.0525	-0.00049034	0.86844	-0.001552	0.67011	-0.0010469	0.51949	-0.00071821	0.62443	-5.5733E-06	0.87697	-0.0019229	0.67994	-0.0011639	0.53152	-0.00057318	0.43295	-0.00023291	NAN	NAN	0.74494	-0.0084479	1.0661	-0.0004538	0.8936	-0.0017578	0.67743	-0.00083167	0.53402	-0.00058504	NAN	NAN	1.0926	-0.0046881	1.0221	-0.00014094	0.84071	-0.0026403	0.68777	-0.0016319	0.50884	-0.00058018	NAN	NAN	1.081	-0.00019565	0.89097	-9.7895E-05	0.98226	-0.00010783	0.76532	-9.9432E-05	0.86024	-2.7198E-06	0.85629	-3.9216E-05	0.42068	-0.00018691	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0682	-0.00061218	0.89135	-0.0017819	0.66713	-0.0011292	0.53223	-0.00084879	0.62193	-7.0916E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0466	-0.00047963	0.9358	-0.0015685	0.76927	-0.0012046	0.64642	-0.0022798	0.49394	-0.00064802	1.057	-0.00057224	0.94082	-0.001591	0.76907	-0.001215	0.64154	-0.0026044	0.48576	-0.00068593	NAN	NAN	1.0515	-0.00048652	0.8682	-0.00155	0.67002	-0.0010468	0.51942	-0.00071816	0.62443	-5.5989E-06	0.87665	-0.0019196	0.67984	-0.0011636	0.53146	-0.00057316	0.43285	-0.00023307	NAN	NAN	0.74362	-0.0084136	1.0654	-0.00045482	0.89327	-0.0017535	0.67736	-0.00083132	0.53396	-0.00058508	NAN	NAN	1.0936	-0.0051079	1.0217	-0.00013969	0.84033	-0.0026389	0.6876	-0.0016307	0.50878	-0.00058011	NAN	NAN	1.0809	-0.00019563	0.89095	-9.77E-05	0.98221	-0.00010763	0.7653	-9.9421E-05	0.86026	-2.7345E-06	0.85627	-3.9385E-05	0.42059	-0.00018666	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0678	-0.0006435	0.89105	-0.0017796	0.66703	-0.0011291	0.53214	-0.00084873	0.62191	-7.1073E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0436	-0.00046359	0.93493	-0.0015658	0.76897	-0.0012063	0.64598	-0.0022917	0.49373	-0.00064996	1.0539	-0.00056641	0.93988	-0.0015886	0.76877	-0.0012167	0.64102	-0.002621	0.48551	-0.00068749	NAN	NAN	1.0486	-0.00047329	0.86761	-0.0015452	0.66984	-0.0010469	0.51926	-0.00071803	0.62443	-5.6798E-06	0.87588	-0.0019116	0.67963	-0.0011631	0.53133	-0.00057312	0.43259	-0.00023356	NAN	NAN	0.7407	-0.008335	1.0632	-0.00045712	0.89244	-0.0017428	0.67725	-0.0008305	0.53383	-0.0005852	NAN	NAN	1.0968	-0.0064195	1.0206	-0.00013597	0.83944	-0.0026342	0.68726	-0.0016286	0.50865	-0.00057991	NAN	NAN	1.0805	-0.00019564	0.89093	-9.7102E-05	0.98208	-0.00010702	0.76527	-9.9384E-05	0.86032	-2.7786E-06	0.85623	-3.9923E-05	0.42036	-0.00018601	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0667	-0.0007453	0.89031	-0.0017741	0.66682	-0.0011294	0.53194	-0.00084864	0.62187	-7.1592E-06
B8	11510	4.07	0.23806	-0.00026408	0.13872	-6.7119E-05	0.08425	-1.8321E-05	1.0428	-0.00046035	0.9346	-0.0015665	0.76882	-0.0012076	0.64572	-0.0022972	0.49397	-0.00065089	1.0531	-0.00056664	0.93953	-0.0015893	0.76862	-0.0012181	0.64072	-0.0026284	0.48572	-0.00069112	0.73738	-0.011405	1.0478	-0.00047125	0.86731	-0.0015431	0.66971	-0.0010466	0.51954	-0.0007113	0.62439	-5.6862E-06	0.8755	-0.0019086	0.6795	-0.0011627	0.53128	-0.00057269	0.43217	-0.00023366	0.36797	-0.00017967	0.73921	-0.008293	1.0626	-0.0004603	0.89208	-0.0017393	0.67716	-0.00083002	0.53379	-0.00058434	0.41432	-0.00059221	1.0983	-0.0069176	1.0203	-0.00013389	0.83898	-0.0026317	0.68705	-0.0016273	0.50895	-0.00057471	0.40094	-0.00059295	1.0806	-0.00019453	0.89094	-9.6986E-05	0.98204	-0.00010684	0.76526	-9.9367E-05	0.86026	-2.978E-06	0.85616	-3.9916E-05	0.41997	-0.00018345	0.32696	-0.00013506	0.2308	-0.00012742	0.14073	-8.5367E-05	0.081413	-2.2949E-05	0.4233	0.00062584	0.33262	-0.00013349	0.23032	-0.00014521	0.13947	-8.0637E-05	0.085959	-6.8378E-05	1.0665	-0.00078759	0.88997	-0.0017724	0.66668	-0.0011291	0.53209	-0.00084265	0.62184	-7.0976E-06
