#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.13905	-8.4557E-05	0.082171	-2.3832E-05	0.049418	-6.4765E-06	1.1028	-0.0016598	0.90679	-0.0038179	0.65662	-0.0021894	0.49943	-0.0029878	0.32754	-0.00057756	1.1224	-0.0019067	0.91549	-0.0039216	0.65639	-0.002207	0.49427	-0.003301	0.31998	-0.00060524	0.66392	-0.016843	1.111	-0.0016749	0.80004	-0.0032648	0.52517	-0.0015973	0.35299	-0.00071662	0.46594	-7.4036E-06	0.81484	-0.0040902	0.53792	-0.0018119	0.36478	-0.00059944	0.27104	-0.0001646	0.21961	-8.7146E-05	0.6486	-0.013054	1.1321	-0.0015283	0.84011	-0.0038901	0.53354	-0.0013038	0.36738	-0.00061263	0.25794	-0.00034997	1.1916	-0.011101	1.0464	-0.00047493	0.76314	-0.0052173	0.54955	-0.0025605	0.34184	-0.00056183	0.24708	-0.0003349	1.1528	-0.00071665	0.82676	-0.00022458	0.97162	-0.00030625	0.64713	-0.00018535	0.78055	-5.4321E-06	0.7754	-7.9179E-05	0.26062	-0.00012874	0.19141	-5.6024E-05	0.13478	-3.9565E-05	0.083401	-3.0163E-05	0.047743	-8.0871E-06	0.26418	1.4958E-05	0.19505	-5.5443E-05	0.13455	-4.5643E-05	0.082653	-2.8792E-05	0.050615	-3.3339E-05	1.1333	-0.0017214	0.83604	-0.0038923	0.52175	-0.0017063	0.36648	-0.00088089	0.46314	-9.6127E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.1001	-0.001658	0.90363	-0.0038192	0.65584	-0.0022012	0.49761	-0.0029931	0.32735	-0.00057731	1.1197	-0.0019139	0.9122	-0.0039274	0.65559	-0.002219	0.49231	-0.0033074	0.31977	-0.00060468	NAN	NAN	1.1085	-0.001672	0.79737	-0.0032272	0.52407	-0.0015895	0.35269	-0.00071443	0.46593	-7.5568E-06	0.81133	-0.0040285	0.53681	-0.0018061	0.36446	-0.00059883	0.27085	-0.00016508	NAN	NAN	0.63779	-0.012653	1.1305	-0.0015278	0.83656	-0.0038255	0.53265	-0.0012961	0.36707	-0.00061219	NAN	NAN	1.2013	-0.013715	1.0447	-0.00047471	0.75967	-0.0051602	0.54808	-0.0025495	0.34163	-0.00055998	NAN	NAN	1.1523	-0.0007087	0.82661	-0.00022446	0.97121	-0.000305	0.64706	-0.00018464	0.78066	-5.5381E-06	0.77534	-8.0238E-05	0.26044	-0.00012847	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1333	-0.0019288	0.83278	-0.0038515	0.52057	-0.0016972	0.36607	-0.00087833	0.46308	-9.7185E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0994	-0.001652	0.9034	-0.0038172	0.65567	-0.0021979	0.49784	-0.0029998	0.32728	-0.00057742	1.119	-0.001912	0.91195	-0.0039254	0.65542	-0.0022156	0.49253	-0.0033151	0.3197	-0.00060436	NAN	NAN	1.1078	-0.0016667	0.79722	-0.0032251	0.52426	-0.0015919	0.35262	-0.00071519	0.46594	-7.5838E-06	0.81113	-0.0040248	0.53696	-0.0018065	0.36444	-0.00059884	0.27087	-0.00016513	NAN	NAN	0.63738	-0.012628	1.13	-0.001527	0.83635	-0.0038208	0.53283	-0.0012974	0.36704	-0.00061234	NAN	NAN	1.2021	-0.014012	1.0446	-0.00047502	0.75932	-0.0051591	0.54818	-0.0025479	0.34155	-0.00056051	NAN	NAN	1.1521	-0.00071093	0.82662	-0.00022406	0.97116	-0.0003047	0.64705	-0.00018493	0.78068	-5.5604E-06	0.77534	-8.0464E-05	0.26046	-0.00012866	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.133	-0.0019528	0.83258	-0.0038485	0.52077	-0.0017001	0.366	-0.00087911	0.46307	-9.7434E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0971	-0.0016379	0.9023	-0.0038089	0.65516	-0.0021986	0.49744	-0.0030107	0.32711	-0.00057779	1.1168	-0.0019098	0.91079	-0.0039178	0.65491	-0.0022162	0.49206	-0.0033282	0.31951	-0.0006042	NAN	NAN	1.1057	-0.0016547	0.79649	-0.0032147	0.52409	-0.0015922	0.35243	-0.00071506	0.46594	-7.6375E-06	0.81012	-0.0040058	0.53673	-0.0018049	0.3643	-0.00059865	0.27079	-0.00016534	NAN	NAN	0.63365	-0.01249	1.1284	-0.0015278	0.83531	-0.0037978	0.53272	-0.0012967	0.36689	-0.00061233	NAN	NAN	1.2068	-0.015425	1.0438	-0.00047289	0.75811	-0.0051493	0.54774	-0.0025417	0.3414	-0.00056029	NAN	NAN	1.1517	-0.00071242	0.8266	-0.00022274	0.97098	-0.00030376	0.647	-0.00018509	0.78072	-5.6069E-06	0.77531	-8.0891E-05	0.26038	-0.0001286	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1325	-0.0020805	0.83164	-0.0038343	0.52057	-0.0017006	0.36578	-0.0008789	0.46305	-9.7874E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0953	-0.0016299	0.90151	-0.003797	0.65488	-0.0022	0.49708	-0.0030164	0.32701	-0.0005781	1.115	-0.0019124	0.90991	-0.0039052	0.65463	-0.0022176	0.49166	-0.0033353	0.3194	-0.00060422	NAN	NAN	1.1039	-0.0016485	0.7961	-0.0032106	0.52391	-0.0015916	0.35231	-0.00071485	0.46594	-7.6861E-06	0.80956	-0.0039957	0.53652	-0.0018035	0.36421	-0.00059856	0.27071	-0.00016554	NAN	NAN	0.63134	-0.012409	1.1272	-0.0015319	0.83466	-0.0037825	0.53259	-0.0012955	0.3668	-0.00061235	NAN	NAN	1.2109	-0.016656	1.0429	-0.00047044	0.75746	-0.0051457	0.54742	-0.0025382	0.3413	-0.00056005	NAN	NAN	1.1514	-0.00071219	0.8266	-0.00022166	0.97081	-0.00030246	0.64698	-0.0001851	0.78076	-5.6517E-06	0.77528	-8.1354E-05	0.26031	-0.00012851	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1322	-0.0022018	0.83112	-0.003827	0.52038	-0.0016999	0.36564	-0.00087866	0.46304	-9.8228E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0918	-0.0016087	0.90022	-0.003782	0.65439	-0.0022042	0.49639	-0.0030269	0.32679	-0.00057888	1.1116	-0.0019108	0.90851	-0.0038894	0.65414	-0.0022218	0.49088	-0.0033486	0.31915	-0.00060433	NAN	NAN	1.1007	-0.0016316	0.79536	-0.003201	0.52355	-0.00159	0.35208	-0.00071463	0.46593	-7.742E-06	0.80853	-0.0039766	0.5361	-0.0018008	0.36402	-0.00059836	0.27057	-0.00016578	NAN	NAN	0.62696	-0.012256	1.125	-0.0015379	0.83354	-0.0037572	0.53232	-0.0012934	0.36661	-0.00061238	NAN	NAN	1.2182	-0.018954	1.0415	-0.00046403	0.75626	-0.0051373	0.54677	-0.0025308	0.34112	-0.00055989	NAN	NAN	1.151	-0.00071117	0.82658	-0.00022025	0.97057	-0.00030074	0.64694	-0.00018517	0.78081	-5.7164E-06	0.77525	-8.2093E-05	0.26019	-0.0001283	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1319	-0.0024499	0.83016	-0.0038132	0.51998	-0.0016983	0.36536	-0.00087826	0.46301	-9.8548E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0867	-0.0015649	0.89837	-0.0037654	0.65371	-0.0022091	0.4955	-0.0030405	0.32652	-0.00058012	1.1064	-0.0018939	0.90651	-0.0038728	0.65345	-0.0022267	0.48987	-0.0033661	0.31884	-0.00060477	NAN	NAN	1.0958	-0.0015948	0.79415	-0.0031824	0.52311	-0.0015883	0.3518	-0.00071434	0.46593	-7.8404E-06	0.8069	-0.0039451	0.53558	-0.0017975	0.3638	-0.00059809	0.27037	-0.00016607	NAN	NAN	0.6209	-0.012029	1.1215	-0.001541	0.8318	-0.0037184	0.532	-0.0012909	0.36639	-0.00061235	NAN	NAN	1.2282	-0.022432	1.0395	-0.00045336	0.75439	-0.0051171	0.54595	-0.0025212	0.3409	-0.00055969	NAN	NAN	1.1503	-0.00070952	0.82653	-0.00021876	0.9703	-0.00029897	0.64687	-0.00018517	0.78089	-5.8139E-06	0.77517	-8.3181E-05	0.26001	-0.00012793	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1315	-0.0028862	0.82861	-0.0037884	0.51949	-0.0016966	0.36502	-0.00087768	0.46296	-9.9125E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0847	-0.0015432	0.89782	-0.0037605	0.65352	-0.0022103	0.49525	-0.0030448	0.32644	-0.00058063	1.1044	-0.0018823	0.90592	-0.0038677	0.65326	-0.0022279	0.48959	-0.0033718	0.31875	-0.00060509	NAN	NAN	1.0938	-0.0015762	0.79379	-0.0031766	0.52299	-0.0015879	0.35173	-0.00071421	0.46592	-7.8764E-06	0.80642	-0.0039357	0.53545	-0.0017967	0.36375	-0.00059801	0.27029	-0.00016618	NAN	NAN	0.61919	-0.011963	1.1201	-0.0015405	0.83129	-0.0037069	0.53191	-0.0012902	0.36633	-0.00061233	NAN	NAN	1.2313	-0.023674	1.0388	-0.00044863	0.75383	-0.0051105	0.54573	-0.0025185	0.34085	-0.00055957	NAN	NAN	1.15	-0.00070926	0.82651	-0.00021832	0.97022	-0.0002984	0.64685	-0.00018514	0.78092	-5.8458E-06	0.77515	-8.3534E-05	0.25994	-0.00012776	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1313	-0.0030607	0.82815	-0.0037809	0.51936	-0.0016962	0.36493	-0.00087747	0.46295	-9.9342E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0791	-0.0014743	0.89642	-0.0037458	0.65311	-0.0022121	0.49472	-0.0030558	0.32625	-0.00058201	1.0984	-0.0018398	0.90439	-0.0038522	0.65285	-0.0022296	0.48897	-0.0033865	0.31851	-0.00060608	NAN	NAN	1.0883	-0.0015161	0.79291	-0.0031629	0.52276	-0.0015874	0.35157	-0.00071389	0.46592	-7.9902E-06	0.80525	-0.0039129	0.53519	-0.0017953	0.36361	-0.00059785	0.27007	-0.0001665	NAN	NAN	0.61538	-0.011814	1.1159	-0.0015362	0.83003	-0.0036782	0.53177	-0.0012886	0.3662	-0.00061232	NAN	NAN	1.2389	-0.027132	1.0368	-0.00043467	0.75253	-0.0050922	0.54529	-0.0025137	0.34072	-0.00055926	NAN	NAN	1.1493	-0.00070893	0.82647	-0.00021698	0.97	-0.00029665	0.6468	-0.00018506	0.78101	-5.9412E-06	0.77509	-8.4657E-05	0.25975	-0.00012729	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.131	-0.0036142	0.82702	-0.0037625	0.5191	-0.0016959	0.36473	-0.00087706	0.4629	-1.0006E-05
B8	11510	4.07	0.13879	-8.4004E-05	0.081953	-2.3776E-05	0.04939	-6.4899E-06	1.0776	-0.0014588	0.89589	-0.0037439	0.65291	-0.0022137	0.49441	-0.0030606	0.32647	-0.00058257	1.0968	-0.001834	0.90383	-0.0038503	0.65265	-0.0022313	0.48862	-0.0033928	0.31872	-0.00060893	0.6104	-0.014704	1.0868	-0.0015044	0.79246	-0.0031564	0.5226	-0.0015865	0.35184	-0.00070786	0.46588	-7.9988E-06	0.80469	-0.0039035	0.53502	-0.0017941	0.36356	-0.00059739	0.26972	-0.00016661	0.21919	-8.7744E-05	0.61343	-0.011736	1.1149	-0.0015439	0.82947	-0.003668	0.53165	-0.0012876	0.36616	-0.00061145	0.2555	-0.00035843	1.2416	-0.028335	1.0362	-0.00042749	0.75186	-0.0050829	0.54503	-0.0025108	0.341	-0.0005547	0.24482	-0.00033812	1.1495	-0.0007053	0.82648	-0.00021672	0.96993	-0.0002961	0.64679	-0.00018503	0.78092	-6.3666E-06	0.77498	-8.4617E-05	0.25942	-0.00012545	0.19119	-5.597E-05	0.1347	-3.9616E-05	0.083139	-3.016E-05	0.047707	-8.095E-06	0.2632	7.6043E-05	0.19484	-5.5799E-05	0.13443	-4.5496E-05	0.082394	-2.8635E-05	0.05043	-2.8282E-05	1.1313	-0.0038382	0.82649	-0.0037557	0.51893	-0.001695	0.36487	-0.0008715	0.46286	-9.9195E-06
