#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.23109	-0.00024891	0.13484	-6.333E-05	0.081693	-1.7197E-05	1.0598	-0.00056342	0.93878	-0.0017027	0.76299	-0.0012506	0.63874	-0.0022687	0.48262	-0.00063808	1.0708	-0.00063452	0.94439	-0.001725	0.76281	-0.0012614	0.63426	-0.0025744	0.47462	-0.00067837	0.77075	-0.012789	1.0645	-0.00056644	0.86697	-0.0016848	0.66088	-0.0010868	0.5082	-0.00071917	0.61266	-5.4115E-06	0.8772	-0.0021067	0.6711	-0.0012126	0.51999	-0.00057581	0.42161	-0.00022542	0.35745	-0.00017009	0.7574	-0.009259	1.0763	-0.00050201	0.89463	-0.0019505	0.66787	-0.00086958	0.5225	-0.00058668	0.40549	-0.00055556	1.0915	-0.0021227	1.0275	-0.00016405	0.84046	-0.0028232	0.68012	-0.0017113	0.49728	-0.00058026	0.39215	-0.00056303	1.0878	-0.00022388	0.88628	-0.00010799	0.98216	-0.0001219	0.75671	-0.00010493	0.85405	-2.7178E-06	0.85038	-3.9836E-05	0.40943	-0.00018324	0.31716	-0.00012818	0.22378	-0.00011902	0.13686	-8.0374E-05	0.078956	-2.1561E-05	0.41295	0.00033632	0.32265	-0.00012524	0.22336	-0.00013599	0.13564	-7.6257E-05	0.083602	-7.6093E-05	1.0759	-0.00047362	0.8917	-0.0019401	0.65802	-0.001171	0.52121	-0.00085242	0.61027	-7.0663E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0582	-0.00056532	0.93672	-0.0017126	0.76239	-0.0012587	0.63722	-0.0022808	0.48241	-0.00063816	1.0693	-0.0006392	0.94226	-0.0017377	0.76221	-0.0012696	0.6326	-0.0025895	0.4744	-0.00067814	NAN	NAN	1.063	-0.0005675	0.86513	-0.0016718	0.65998	-0.0010832	0.5079	-0.00071724	0.61266	-5.5235E-06	0.87481	-0.0020849	0.67021	-0.0012108	0.51968	-0.00057545	0.42139	-0.00022611	NAN	NAN	0.74907	-0.0090515	1.0754	-0.00050247	0.89224	-0.0019273	0.66716	-0.00086557	0.5222	-0.00058651	NAN	NAN	1.0933	-0.0027361	1.0266	-0.00016467	0.83802	-0.0028042	0.67894	-0.0017074	0.49706	-0.0005785	NAN	NAN	1.0874	-0.00022161	0.88618	-0.00010794	0.98191	-0.00012145	0.75666	-0.00010454	0.85413	-2.7701E-06	0.85034	-4.0375E-05	0.40921	-0.0001829	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0755	-0.00051108	0.8895	-0.0019295	0.65705	-0.0011667	0.52081	-0.00085039	0.61022	-7.1445E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0578	-0.00056404	0.93657	-0.0017123	0.76227	-0.0012572	0.6374	-0.0022853	0.48234	-0.00063829	1.0689	-0.00063945	0.9421	-0.0017375	0.76208	-0.0012681	0.63278	-0.002595	0.47432	-0.00067779	NAN	NAN	1.0627	-0.00056645	0.86503	-0.001671	0.66014	-0.0010846	0.50782	-0.00071813	0.61266	-5.5432E-06	0.87467	-0.0020835	0.67034	-0.0012107	0.51966	-0.00057548	0.42141	-0.00022619	NAN	NAN	0.74875	-0.0090354	1.0751	-0.00050275	0.89209	-0.0019254	0.6673	-0.00086621	0.52217	-0.00058669	NAN	NAN	1.0934	-0.0028131	1.0265	-0.00016484	0.83778	-0.0028051	0.67903	-0.0017061	0.49699	-0.00057914	NAN	NAN	1.0873	-0.00022233	0.88618	-0.00010774	0.98188	-0.00012134	0.75665	-0.0001047	0.85414	-2.7811E-06	0.85033	-4.0489E-05	0.40923	-0.00018315	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0753	-0.00051591	0.88937	-0.0019285	0.65722	-0.0011684	0.52074	-0.00085129	0.61021	-7.1629E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0566	-0.0005616	0.93586	-0.0017116	0.76189	-0.0012586	0.63706	-0.0022961	0.48217	-0.00063893	1.0677	-0.0006413	0.94134	-0.0017374	0.7617	-0.0012694	0.63238	-0.0026086	0.47413	-0.00067785	NAN	NAN	1.0615	-0.00056455	0.86452	-0.0016673	0.66	-0.0010851	0.50763	-0.00071821	0.61266	-5.5825E-06	0.87398	-0.0020763	0.67015	-0.00121	0.51952	-0.0005754	0.42132	-0.00022651	NAN	NAN	0.74586	-0.0089626	1.0742	-0.00050422	0.89139	-0.0019161	0.66721	-0.00086588	0.52203	-0.00058681	NAN	NAN	1.0944	-0.0031858	1.026	-0.00016441	0.83692	-0.0028044	0.67868	-0.0017029	0.49683	-0.00057906	NAN	NAN	1.0871	-0.00022288	0.88617	-0.0001071	0.98176	-0.000121	0.75662	-0.00010479	0.85417	-2.8041E-06	0.85031	-4.0708E-05	0.40914	-0.00018307	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0747	-0.00054067	0.88873	-0.0019239	0.65706	-0.0011691	0.52052	-0.0008514	0.61019	-7.1953E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0555	-0.00056088	0.93534	-0.0017079	0.76168	-0.0012599	0.63676	-0.0023024	0.48206	-0.00063942	1.0667	-0.00064431	0.94078	-0.0017339	0.76149	-0.0012707	0.63203	-0.0026168	0.47401	-0.00067804	NAN	NAN	1.0605	-0.00056428	0.86425	-0.001666	0.65986	-0.0010849	0.50751	-0.00071813	0.61266	-5.618E-06	0.87359	-0.0020725	0.66998	-0.0012095	0.51943	-0.00057539	0.42123	-0.0002268	NAN	NAN	0.74406	-0.0089214	1.0736	-0.00050646	0.89095	-0.0019097	0.66711	-0.0008652	0.52194	-0.00058692	NAN	NAN	1.0953	-0.0035283	1.0255	-0.00016388	0.83647	-0.0028049	0.67842	-0.0017012	0.49674	-0.0005789	NAN	NAN	1.087	-0.00022285	0.88617	-0.00010658	0.98165	-0.0001205	0.7566	-0.0001048	0.8542	-2.8262E-06	0.8503	-4.0943E-05	0.40905	-0.00018295	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0744	-0.00056435	0.88838	-0.0019215	0.6569	-0.0011689	0.52038	-0.00085135	0.61018	-7.2215E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0536	-0.00055734	0.93451	-0.0017042	0.76131	-0.0012633	0.63616	-0.0023142	0.48183	-0.00064058	1.0648	-0.00064784	0.93987	-0.0017303	0.76112	-0.0012741	0.63136	-0.0026325	0.47375	-0.00067849	NAN	NAN	1.0586	-0.00056194	0.86374	-0.0016627	0.65956	-0.0010844	0.50728	-0.00071817	0.61266	-5.6588E-06	0.87288	-0.0020653	0.66964	-0.0012084	0.51925	-0.00057535	0.42106	-0.00022717	NAN	NAN	0.74066	-0.0088425	1.0723	-0.00051017	0.89019	-0.0018992	0.66689	-0.00086413	0.52176	-0.00058712	NAN	NAN	1.0972	-0.0042195	1.0247	-0.00016218	0.83563	-0.0028048	0.67791	-0.0016977	0.49655	-0.00057888	NAN	NAN	1.0867	-0.00022261	0.88615	-0.00010589	0.98151	-0.00011983	0.75657	-0.00010484	0.85423	-2.8583E-06	0.85027	-4.1319E-05	0.4089	-0.00018268	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0737	-0.0006133	0.88773	-0.0019172	0.65657	-0.0011685	0.52011	-0.00085135	0.61015	-7.2453E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0507	-0.00054749	0.9333	-0.0017014	0.7608	-0.0012674	0.63541	-0.0023296	0.48155	-0.00064236	1.0619	-0.00064844	0.93857	-0.0017282	0.7606	-0.0012783	0.6305	-0.0026531	0.47341	-0.00067941	NAN	NAN	1.0559	-0.00055431	0.86291	-0.0016557	0.6592	-0.001084	0.50701	-0.0007182	0.61265	-5.7309E-06	0.87177	-0.0020531	0.66923	-0.0012071	0.51904	-0.00057527	0.42083	-0.0002276	NAN	NAN	0.73593	-0.0087194	1.0704	-0.00051404	0.88901	-0.0018834	0.66663	-0.00086289	0.52154	-0.00058731	NAN	NAN	1.1004	-0.0054108	1.0235	-0.00015914	0.83431	-0.0028005	0.67725	-0.001693	0.49633	-0.00057886	NAN	NAN	1.0864	-0.0002222	0.88612	-0.00010518	0.98134	-0.00011914	0.75652	-0.00010484	0.85429	-2.9066E-06	0.85022	-4.1876E-05	0.40869	-0.00018218	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0728	-0.00070087	0.88668	-0.0019088	0.65617	-0.0011682	0.51978	-0.00085126	0.61011	-7.2881E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0496	-0.00054198	0.93294	-0.0017005	0.76066	-0.0012684	0.6352	-0.0023343	0.48146	-0.00064306	1.0607	-0.00064707	0.93819	-0.0017274	0.76046	-0.0012793	0.63026	-0.0026596	0.47331	-0.00067993	NAN	NAN	1.0548	-0.00054986	0.86266	-0.0016535	0.6591	-0.0010839	0.50694	-0.00071814	0.61265	-5.7572E-06	0.87144	-0.0020494	0.66912	-0.0012068	0.51898	-0.00057524	0.42073	-0.00022776	NAN	NAN	0.73459	-0.0086829	1.0696	-0.00051515	0.88867	-0.0018787	0.66657	-0.00086251	0.52149	-0.00058735	NAN	NAN	1.1017	-0.0058849	1.0231	-0.00015771	0.83392	-0.0027988	0.67707	-0.0016917	0.49628	-0.00057879	NAN	NAN	1.0862	-0.00022218	0.8861	-0.00010497	0.98129	-0.00011892	0.7565	-0.00010483	0.85431	-2.9223E-06	0.8502	-4.2057E-05	0.40861	-0.00018194	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0724	-0.00073683	0.88637	-0.0019063	0.65607	-0.0011682	0.5197	-0.00085119	0.6101	-7.3042E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0464	-0.0005234	0.93203	-0.0016972	0.76035	-0.0012702	0.63475	-0.0023461	0.48126	-0.00064496	1.0573	-0.00063997	0.9372	-0.0017243	0.76015	-0.0012811	0.62973	-0.0026761	0.47307	-0.00068144	NAN	NAN	1.0517	-0.0005345	0.86205	-0.0016482	0.65892	-0.001084	0.50677	-0.000718	0.61265	-5.8404E-06	0.87064	-0.0020406	0.66891	-0.0012063	0.51885	-0.00057519	0.42047	-0.00022824	NAN	NAN	0.7316	-0.0085991	1.0672	-0.00051759	0.88781	-0.0018668	0.66645	-0.00086165	0.52135	-0.00058746	NAN	NAN	1.1053	-0.0073553	1.0219	-0.00015342	0.833	-0.0027933	0.67673	-0.0016894	0.49614	-0.00057857	NAN	NAN	1.0858	-0.00022221	0.88608	-0.00010433	0.98115	-0.00011824	0.75647	-0.00010479	0.85438	-2.9695E-06	0.85015	-4.2631E-05	0.40838	-0.0001813	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0712	-0.00085356	0.8856	-0.0019	0.65585	-0.0011684	0.5195	-0.00085108	0.61006	-7.3575E-06
B8	11510	4.07	0.23065	-0.00024728	0.13449	-6.3131E-05	0.081648	-1.7232E-05	1.0455	-0.0005196	0.93168	-0.0016977	0.7602	-0.0012716	0.63449	-0.0023516	0.48149	-0.00064586	1.0565	-0.00064009	0.93683	-0.0017249	0.76	-0.0012825	0.62943	-0.0026834	0.47328	-0.00068501	0.72819	-0.011664	1.0508	-0.00053207	0.86173	-0.0016459	0.65879	-0.0010836	0.50706	-0.00071132	0.61261	-5.8469E-06	0.87025	-0.0020372	0.66877	-0.0012058	0.5188	-0.00057476	0.42006	-0.00022834	0.35687	-0.00017162	0.73006	-0.0085546	1.0667	-0.00052116	0.88743	-0.001863	0.66635	-0.00086113	0.52132	-0.00058659	0.40247	-0.0005725	1.107	-0.0079107	1.0215	-0.00015104	0.83253	-0.0027905	0.67652	-0.0016881	0.49644	-0.00057343	0.38929	-0.00057129	1.0859	-0.00022096	0.88609	-0.0001042	0.98111	-0.00011804	0.75646	-0.00010477	0.85431	-3.1825E-06	0.85008	-4.2622E-05	0.40799	-0.0001788	0.31682	-0.00012799	0.22363	-0.00011916	0.13643	-8.0284E-05	0.078897	-2.158E-05	0.41147	0.00055839	0.32233	-0.00012646	0.22316	-0.00013583	0.13521	-7.5857E-05	0.083309	-6.5084E-05	1.071	-0.00090203	0.88524	-0.001898	0.65571	-0.0011681	0.51965	-0.00084512	0.61003	-7.2941E-06
