#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.26629	-0.00033384	0.15499	-8.3399E-05	0.094037	-2.2645E-05	1.0411	-0.00024966	0.95121	-0.0011105	0.80362	-0.00096471	0.69179	-0.0020153	0.54182	-0.00066153	1.0482	-0.00027247	0.95565	-0.0011152	0.80346	-0.00097327	0.68756	-0.0023154	0.53367	-0.00070693	0.80921	-0.011135	1.0442	-0.00024682	0.89257	-0.0012045	0.71256	-0.00091491	0.56743	-0.00071927	0.66858	-4.7282E-06	0.90093	-0.0014957	0.72182	-0.001012	0.57921	-0.00056604	0.47915	-0.00025097	0.41016	-0.00020962	0.79733	-0.0077997	1.052	-0.0002097	0.91538	-0.0013568	0.71903	-0.00072477	0.58169	-0.00057605	0.46189	-0.00064899	1.0601	-0.00093913	1.0197	-8.2279E-05	0.86989	-0.0020802	0.72981	-0.0014244	0.55661	-0.00058666	0.44761	-0.00066778	1.0594	-8.8537E-05	0.90934	-7.4767E-05	0.98635	-7.1679E-05	0.79853	-8.0523E-05	0.88237	-1.9404E-06	0.87925	-2.8541E-05	0.46629	-0.0002064	0.36526	-0.00016352	0.25782	-0.00016055	0.15731	-0.0001059	0.090895	-2.8419E-05	0.46929	0.00058991	0.37146	-0.00015995	0.25733	-0.00018316	0.1559	-0.00010033	0.096199	-9.4391E-05	1.0517	-0.00020221	0.91299	-0.0013534	0.70991	-0.00098984	0.58024	-0.00084056	0.66634	-6.1906E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0401	-0.00025184	0.94957	-0.0011207	0.8031	-0.0009715	0.69038	-0.0020293	0.54161	-0.00066173	1.0473	-0.00027585	0.95395	-0.0011274	0.80293	-0.00098019	0.68602	-0.0023332	0.53344	-0.00070684	NAN	NAN	1.0432	-0.00024846	0.89104	-0.0011975	0.71175	-0.00091252	0.56713	-0.00071745	0.66857	-4.8261E-06	0.89895	-0.0014839	0.72102	-0.0010112	0.57891	-0.00056578	0.47891	-0.00025176	NAN	NAN	0.79001	-0.0076606	1.0514	-0.00021049	0.91342	-0.0013443	0.71839	-0.00072183	0.58139	-0.00057598	NAN	NAN	1.0607	-0.0012274	1.019	-8.2866E-05	0.86783	-0.0020708	0.72875	-0.0014225	0.5564	-0.00058495	NAN	NAN	1.0593	-8.7696E-05	0.90925	-7.4738E-05	0.98615	-7.148E-05	0.79848	-8.0226E-05	0.88243	-1.9776E-06	0.87921	-2.8928E-05	0.46607	-0.00020601	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0514	-0.00022076	0.91118	-0.0013495	0.70903	-0.00098698	0.57985	-0.00083874	0.66629	-6.2592E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0398	-0.00025158	0.94945	-0.0011208	0.80299	-0.00097043	0.69055	-0.0020331	0.54154	-0.00066189	1.047	-0.0002763	0.95383	-0.0011276	0.80282	-0.00097908	0.68618	-0.0023379	0.53336	-0.00070647	NAN	NAN	1.043	-0.00024829	0.89095	-0.0011971	0.71189	-0.00091355	0.56705	-0.00071838	0.66858	-4.8433E-06	0.89884	-0.0014832	0.72113	-0.001011	0.57889	-0.00056581	0.47894	-0.00025185	NAN	NAN	0.78972	-0.0076481	1.0512	-0.00021079	0.9133	-0.0013432	0.71852	-0.00072228	0.58137	-0.00057617	NAN	NAN	1.0607	-0.0012644	1.019	-8.2983E-05	0.86763	-0.0020719	0.72882	-0.0014212	0.55632	-0.00058563	NAN	NAN	1.0592	-8.8007E-05	0.90925	-7.4602E-05	0.98613	-7.1422E-05	0.79847	-8.0352E-05	0.88244	-1.9854E-06	0.87921	-2.9011E-05	0.46609	-0.00020629	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0513	-0.00022326	0.91107	-0.001349	0.70918	-0.00098828	0.57978	-0.00083969	0.66628	-6.2753E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.039	-0.0002515	0.94889	-0.0011215	0.80266	-0.0009718	0.69023	-0.0020436	0.54136	-0.00066262	1.0462	-0.00027819	0.95323	-0.0011289	0.80249	-0.00098045	0.6858	-0.0023515	0.53317	-0.00070662	NAN	NAN	1.0422	-0.00024838	0.89053	-0.001195	0.71177	-0.00091411	0.56686	-0.00071855	0.66858	-4.8776E-06	0.89827	-0.0014791	0.72095	-0.0010106	0.57875	-0.00056578	0.47883	-0.0002522	NAN	NAN	0.78718	-0.0075986	1.0506	-0.00021197	0.91272	-0.0013378	0.71844	-0.00072206	0.58123	-0.00057634	NAN	NAN	1.061	-0.0014438	1.0186	-8.2917E-05	0.86691	-0.002073	0.72851	-0.0014189	0.55616	-0.0005856	NAN	NAN	1.059	-8.8271E-05	0.90924	-7.4157E-05	0.98604	-7.1246E-05	0.79844	-8.0419E-05	0.88247	-2.0017E-06	0.87919	-2.9168E-05	0.46599	-0.00020621	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0509	-0.00023569	0.91055	-0.0013468	0.70904	-0.000989	0.57957	-0.00083992	0.66627	-6.3038E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0383	-0.00025204	0.94848	-0.00112	0.80248	-0.00097303	0.68995	-0.00205	0.54125	-0.0006632	1.0455	-0.00028042	0.95278	-0.0011276	0.80231	-0.00098168	0.68548	-0.00236	0.53304	-0.00070688	NAN	NAN	1.0416	-0.00024905	0.89031	-0.0011944	0.71163	-0.00091408	0.56674	-0.00071851	0.66858	-4.9086E-06	0.89795	-0.0014769	0.72081	-0.0010103	0.57866	-0.00056579	0.47874	-0.00025254	NAN	NAN	0.78559	-0.0075714	1.0502	-0.00021336	0.91237	-0.0013339	0.71835	-0.00072156	0.58113	-0.00057648	NAN	NAN	1.0614	-0.0016103	1.0183	-8.2801E-05	0.86652	-0.0020743	0.72828	-0.0014178	0.55607	-0.00058547	NAN	NAN	1.059	-8.8292E-05	0.90924	-7.3795E-05	0.98596	-7.0978E-05	0.79843	-8.0428E-05	0.88249	-2.0175E-06	0.87918	-2.9337E-05	0.4659	-0.00020608	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0507	-0.0002475	0.91026	-0.0013456	0.70889	-0.00098901	0.57943	-0.00083995	0.66625	-6.3268E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.037	-0.00025201	0.94781	-0.0011189	0.80215	-0.00097596	0.68939	-0.0020621	0.54102	-0.00066451	1.0443	-0.00028368	0.95206	-0.0011269	0.80198	-0.00098463	0.68485	-0.0023763	0.53278	-0.00070746	NAN	NAN	1.0404	-0.00024945	0.88988	-0.0011927	0.71137	-0.00091388	0.56652	-0.00071865	0.66857	-4.9444E-06	0.89736	-0.0014729	0.7205	-0.0010097	0.57848	-0.00056581	0.47857	-0.00025295	NAN	NAN	0.78258	-0.0075188	1.0494	-0.00021578	0.91174	-0.0013277	0.71815	-0.0007208	0.58096	-0.00057674	NAN	NAN	1.0621	-0.0019522	1.0177	-8.22E-05	0.86581	-0.002076	0.72781	-0.0014155	0.55588	-0.00058552	NAN	NAN	1.0588	-8.8244E-05	0.90923	-7.3322E-05	0.98585	-7.0622E-05	0.7984	-8.0462E-05	0.88252	-2.0403E-06	0.87916	-2.9608E-05	0.46574	-0.00020577	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0502	-0.000272	0.90973	-0.0013436	0.70859	-0.00098891	0.57916	-0.00084011	0.66623	-6.3477E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0351	-0.0002498	0.94685	-0.0011191	0.80171	-0.00097962	0.68869	-0.0020779	0.54073	-0.0006665	1.0424	-0.00028654	0.95104	-0.0011278	0.80153	-0.00098831	0.68405	-0.0023976	0.53244	-0.00070859	NAN	NAN	1.0385	-0.00024815	0.88919	-0.0011886	0.71103	-0.00091379	0.56624	-0.0007188	0.66857	-5.0073E-06	0.89644	-0.0014658	0.72012	-0.0010089	0.57827	-0.00056581	0.47832	-0.00025345	NAN	NAN	0.77839	-0.0074332	1.0481	-0.00021874	0.91078	-0.0013183	0.71791	-0.00071992	0.58074	-0.00057701	NAN	NAN	1.0634	-0.0025603	1.0169	-8.1012E-05	0.86469	-0.0020753	0.72722	-0.0014123	0.55566	-0.00058557	NAN	NAN	1.0586	-8.8165E-05	0.9092	-7.283E-05	0.98572	-7.0263E-05	0.79835	-8.0467E-05	0.88257	-2.0746E-06	0.87911	-3.0009E-05	0.46552	-0.00020522	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0495	-0.00031616	0.90886	-0.0013393	0.70823	-0.00098897	0.57884	-0.00084021	0.66619	-6.3853E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0343	-0.00024814	0.94656	-0.0011192	0.80158	-0.00098057	0.68849	-0.0020827	0.54065	-0.00066729	1.0416	-0.00028696	0.95073	-0.001128	0.8014	-0.00098927	0.68382	-0.0024043	0.53233	-0.00070919	NAN	NAN	1.0378	-0.00024697	0.88898	-0.0011874	0.71095	-0.00091379	0.56617	-0.00071877	0.66857	-5.0303E-06	0.89617	-0.0014637	0.72002	-0.0010088	0.57821	-0.0005658	0.47822	-0.00025363	NAN	NAN	0.7772	-0.0074073	1.0476	-0.00021976	0.9105	-0.0013155	0.71785	-0.00071965	0.58069	-0.00057707	NAN	NAN	1.0639	-0.0028093	1.0166	-8.0408E-05	0.86436	-0.0020748	0.72706	-0.0014114	0.5556	-0.00058552	NAN	NAN	1.0585	-8.8188E-05	0.90919	-7.2686E-05	0.98568	-7.0145E-05	0.79834	-8.0458E-05	0.88259	-2.0858E-06	0.8791	-3.0139E-05	0.46543	-0.00020496	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0492	-0.00033447	0.9086	-0.001338	0.70813	-0.00098903	0.57875	-0.00084019	0.66618	-6.3995E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0322	-0.000242	0.94583	-0.0011185	0.80132	-0.00098222	0.68807	-0.0020946	0.54044	-0.00066939	1.0394	-0.00028675	0.94995	-0.0011277	0.80113	-0.00099092	0.68332	-0.0024212	0.53208	-0.00071091	NAN	NAN	1.0357	-0.00024235	0.88847	-0.0011843	0.71078	-0.00091401	0.56601	-0.0007187	0.66857	-5.103E-06	0.8955	-0.0014586	0.71983	-0.0010085	0.57809	-0.00056579	0.47794	-0.00025417	NAN	NAN	0.77454	-0.0073473	1.0461	-0.00022242	0.9098	-0.0013084	0.71775	-0.000719	0.58056	-0.00057723	NAN	NAN	1.0655	-0.0036062	1.0158	-7.857E-05	0.86358	-0.0020725	0.72674	-0.0014099	0.55547	-0.00058534	NAN	NAN	1.0582	-8.829E-05	0.90917	-7.2243E-05	0.98558	-6.978E-05	0.79831	-8.0429E-05	0.88264	-2.1193E-06	0.87906	-3.0553E-05	0.46518	-0.00020424	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0484	-0.00039427	0.90797	-0.0013347	0.70793	-0.00098944	0.57855	-0.00084019	0.66614	-6.4463E-06
B8	11510	4.07	0.26578	-0.00033163	0.15458	-8.3115E-05	0.093985	-2.2691E-05	1.0316	-0.00024086	0.94556	-0.0011194	0.80118	-0.00098341	0.68783	-0.0021002	0.54067	-0.00067044	1.0388	-0.00028757	0.94966	-0.0011288	0.801	-0.00099212	0.68304	-0.0024288	0.5323	-0.00071478	0.77148	-0.010422	1.0352	-0.00024184	0.88821	-0.001183	0.71066	-0.0009138	0.5663	-0.00071178	0.66853	-5.1088E-06	0.89518	-0.0014568	0.71971	-0.0010082	0.57804	-0.00056537	0.47751	-0.00025426	0.40952	-0.00021162	0.77318	-0.007315	1.0457	-0.00022436	0.90949	-0.0013063	0.71766	-0.00071862	0.58052	-0.00057636	0.45866	-0.00066982	1.0663	-0.0039137	1.0155	-7.748E-05	0.86319	-0.0020712	0.72656	-0.001409	0.55578	-0.00057997	0.44452	-0.0006783	1.0583	-8.7772E-05	0.90918	-7.2156E-05	0.98555	-6.9667E-05	0.7983	-8.0416E-05	0.88259	-2.2715E-06	0.879	-3.0549E-05	0.46478	-0.00020146	0.36488	-0.00016323	0.25765	-0.00016074	0.15682	-0.00010575	0.090826	-2.8444E-05	0.46737	0.00093633	0.3711	-0.0001617	0.2571	-0.00018301	0.15541	-9.9798E-05	0.095869	-8.1014E-05	1.0482	-0.00041881	0.90768	-0.0013339	0.70781	-0.00098926	0.5787	-0.00083408	0.66611	-6.3909E-06
