#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.19056	-0.00016614	0.11165	-4.3617E-05	0.067481	-1.1846E-05	1.0746	-0.00088206	0.92572	-0.002509	0.71705	-0.0016491	0.57774	-0.0025866	0.41437	-0.00061153	1.0886	-0.0010061	0.93258	-0.0025547	0.71684	-0.0016628	0.57296	-0.0028973	0.40657	-0.0006461	0.72539	-0.014678	1.0805	-0.00089025	0.83899	-0.0023437	0.60152	-0.0013089	0.43992	-0.00071909	0.54827	-6.2783E-06	0.85123	-0.0029311	0.6129	-0.0014731	0.45172	-0.00058724	0.35532	-0.0001975	0.29675	-0.00012993	0.71103	-0.011004	1.0955	-0.0008018	0.87208	-0.002742	0.60913	-0.001058	0.45427	-0.00059915	0.34052	-0.00045812	1.1222	-0.0044024	1.034	-0.00025264	0.80784	-0.0038404	0.62314	-0.0020826	0.42889	-0.00057284	0.32827	-0.00045437	1.1099	-0.00036621	0.86171	-0.00015479	0.97811	-0.00018338	0.70929	-0.00013912	0.8232	-3.8365E-06	0.81886	-5.6096E-05	0.34391	-0.0001581	0.26179	-9.2776E-05	0.18459	-7.8821E-05	0.11332	-5.5306E-05	0.065212	-1.4832E-05	0.34762	0.00014863	0.26646	-9.0843E-05	0.18425	-9.0317E-05	0.11231	-5.2586E-05	0.069085	-5.6155E-05	1.0953	-0.00080553	0.86866	-0.0027382	0.59841	-0.0014042	0.45315	-0.0008664	0.54569	-8.1753E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0726	-0.00088322	0.92321	-0.0025185	0.71637	-0.0016588	0.57609	-0.002596	0.41417	-0.00061145	1.0867	-0.0010115	0.92998	-0.002568	0.71615	-0.0016727	0.57116	-0.0029088	0.40635	-0.00064572	NAN	NAN	1.0787	-0.00089022	0.83678	-0.0023215	0.60053	-0.0013035	0.43962	-0.00071705	0.54827	-6.4082E-06	0.84835	-0.0028945	0.61191	-0.0014697	0.45141	-0.00058677	0.35511	-0.0001981	NAN	NAN	0.70155	-0.010711	1.0943	-0.00080161	0.86918	-0.0027038	0.60834	-0.0010524	0.45396	-0.00059886	NAN	NAN	1.1264	-0.0056287	1.0328	-0.0002533	0.80493	-0.0038067	0.62183	-0.0020758	0.42867	-0.00057104	NAN	NAN	1.1095	-0.0003623	0.86159	-0.00015471	0.97779	-0.00018272	0.70922	-0.00013859	0.82329	-3.9108E-06	0.81881	-5.6851E-05	0.34371	-0.00015779	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0949	-0.00088282	0.866	-0.0027172	0.59734	-0.001398	0.45275	-0.00086412	0.54564	-8.2655E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0721	-0.00088072	0.92303	-0.0025177	0.71622	-0.0016566	0.57629	-0.0026014	0.4141	-0.00061158	1.0862	-0.0010113	0.92978	-0.0025674	0.71601	-0.0016704	0.57136	-0.0029153	0.40627	-0.00064538	NAN	NAN	1.0782	-0.00088807	0.83666	-0.0023202	0.6007	-0.0013053	0.43954	-0.00071788	0.54827	-6.431E-06	0.84819	-0.0028923	0.61205	-0.0014698	0.45139	-0.00058679	0.35513	-0.00019817	NAN	NAN	0.70118	-0.01069	1.094	-0.00080167	0.86901	-0.0027009	0.6085	-0.0010533	0.45394	-0.00059903	NAN	NAN	1.1268	-0.0057776	1.0327	-0.00025353	0.80465	-0.0038069	0.62192	-0.0020744	0.4286	-0.00057162	NAN	NAN	1.1094	-0.00036343	0.86159	-0.00015444	0.97776	-0.00018256	0.70921	-0.00013881	0.82331	-3.9264E-06	0.8188	-5.7012E-05	0.34373	-0.00015801	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0946	-0.00089232	0.86584	-0.0027155	0.59752	-0.0014001	0.45268	-0.00086497	0.54563	-8.2867E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0705	-0.00087535	0.92216	-0.002515	0.71578	-0.0016577	0.57592	-0.0026123	0.41393	-0.00061209	1.0846	-0.0010124	0.92886	-0.0025655	0.71557	-0.0016715	0.57093	-0.0029288	0.40608	-0.00064534	NAN	NAN	1.0767	-0.00088355	0.83605	-0.002314	0.60055	-0.0013058	0.43935	-0.00071787	0.54827	-6.4766E-06	0.84735	-0.0028806	0.61184	-0.0014687	0.45125	-0.00058666	0.35504	-0.00019843	NAN	NAN	0.6979	-0.010588	1.0929	-0.00080296	0.86816	-0.0026865	0.60841	-0.0010528	0.45379	-0.0005991	NAN	NAN	1.129	-0.0064948	1.0321	-0.00025275	0.80363	-0.0038029	0.62153	-0.0020699	0.42844	-0.00057148	NAN	NAN	1.1091	-0.00036419	0.86158	-0.00015352	0.97762	-0.00018204	0.70918	-0.00013892	0.82334	-3.9591E-06	0.81878	-5.7317E-05	0.34364	-0.00015795	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0941	-0.00094194	0.86507	-0.0027074	0.59735	-0.0014007	0.45246	-0.00086494	0.54562	-8.3242E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0692	-0.0008729	0.92153	-0.0025087	0.71554	-0.0016591	0.5756	-0.0026184	0.41382	-0.00061251	1.0833	-0.0010156	0.92817	-0.0025592	0.71532	-0.0016729	0.57056	-0.0029366	0.40596	-0.00064545	NAN	NAN	1.0755	-0.00088184	0.83573	-0.0023117	0.60039	-0.0013054	0.43923	-0.00071772	0.54827	-6.5178E-06	0.84689	-0.0028744	0.61165	-0.0014679	0.45115	-0.00058661	0.35496	-0.00019869	NAN	NAN	0.69586	-0.010529	1.092	-0.00080573	0.86763	-0.0026768	0.60829	-0.0010519	0.4537	-0.00059916	NAN	NAN	1.1311	-0.0071423	1.0315	-0.00025181	0.8031	-0.003802	0.62124	-0.0020674	0.42835	-0.00057129	NAN	NAN	1.109	-0.00036408	0.86158	-0.00015277	0.97749	-0.0001813	0.70916	-0.00013894	0.82338	-3.9905E-06	0.81876	-5.7647E-05	0.34356	-0.00015784	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0937	-0.00098928	0.86465	-0.0027033	0.59717	-0.0014004	0.45232	-0.00086481	0.5456	-8.3544E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0668	-0.00086499	0.92051	-0.0025017	0.71512	-0.0016629	0.57496	-0.0026297	0.4136	-0.00061349	1.0809	-0.0010182	0.92706	-0.0025522	0.71489	-0.0016767	0.56984	-0.0029513	0.40571	-0.00064574	NAN	NAN	1.0731	-0.00087583	0.83512	-0.0023061	0.60007	-0.0013045	0.439	-0.00071765	0.54827	-6.5652E-06	0.84604	-0.0028628	0.61128	-0.0014661	0.45097	-0.0005865	0.35481	-0.000199	NAN	NAN	0.692	-0.010417	1.0904	-0.00081011	0.86671	-0.0026608	0.60805	-0.0010504	0.45352	-0.00059928	NAN	NAN	1.1352	-0.008414	1.0305	-0.00024899	0.80209	-0.003799	0.62067	-0.0020623	0.42816	-0.0005712	NAN	NAN	1.1086	-0.00036354	0.86156	-0.0001518	0.97731	-0.00018031	0.70912	-0.00013899	0.82342	-4.0359E-06	0.81873	-5.8174E-05	0.34342	-0.0001576	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0931	-0.001087	0.86387	-0.0026956	0.59681	-0.0013995	0.45205	-0.00086463	0.54557	-8.3818E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0631	-0.00084629	0.91903	-0.0024951	0.71453	-0.0016675	0.57414	-0.0026445	0.41332	-0.00061502	1.0773	-0.0010148	0.92548	-0.0025463	0.71431	-0.0016813	0.56891	-0.0029707	0.40538	-0.00064644	NAN	NAN	1.0697	-0.00086052	0.83412	-0.0022947	0.59967	-0.0013035	0.43873	-0.00071753	0.54826	-6.6488E-06	0.8447	-0.0028433	0.61082	-0.001464	0.45076	-0.00058633	0.35458	-0.00019936	NAN	NAN	0.68665	-0.010247	1.088	-0.00081388	0.8653	-0.0026364	0.60776	-0.0010487	0.4533	-0.00059938	NAN	NAN	1.1415	-0.010505	1.029	-0.00024406	0.80052	-0.0037888	0.61993	-0.0020555	0.42794	-0.0005711	NAN	NAN	1.1082	-0.00036268	0.86152	-0.00015077	0.9771	-0.00017931	0.70906	-0.00013899	0.82349	-4.1044E-06	0.81866	-5.8952E-05	0.34323	-0.00015716	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0921	-0.0012613	0.86259	-0.0026814	0.59637	-0.0013986	0.45171	-0.00086432	0.54553	-8.4311E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0617	-0.00083648	0.9186	-0.0024931	0.71436	-0.0016686	0.57392	-0.0026491	0.41324	-0.00061564	1.0758	-0.0010109	0.92501	-0.0025444	0.71414	-0.0016824	0.56865	-0.0029769	0.40529	-0.00064687	NAN	NAN	1.0683	-0.00085228	0.83382	-0.0022911	0.59956	-0.0013033	0.43866	-0.00071744	0.54826	-6.6793E-06	0.8443	-0.0028375	0.6107	-0.0014635	0.4507	-0.00058629	0.3545	-0.0001995	NAN	NAN	0.68513	-0.010198	1.087	-0.00081463	0.86488	-0.0026291	0.60769	-0.0010482	0.45324	-0.00059939	NAN	NAN	1.1438	-0.011304	1.0285	-0.00024177	0.80006	-0.0037852	0.61974	-0.0020537	0.42789	-0.00057101	NAN	NAN	1.108	-0.00036256	0.8615	-0.00015047	0.97704	-0.00017898	0.70904	-0.00013897	0.82351	-4.1268E-06	0.81864	-5.9204E-05	0.34315	-0.00015695	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0917	-0.0013323	0.86222	-0.002677	0.59625	-0.0013984	0.45162	-0.00086419	0.54552	-8.4497E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0577	-0.00080429	0.91749	-0.0024865	0.71401	-0.0016705	0.57343	-0.0026606	0.41304	-0.0006173	1.0715	-0.00099484	0.92381	-0.0025378	0.71378	-0.0016842	0.56808	-0.0029927	0.40505	-0.00064814	NAN	NAN	1.0643	-0.0008248	0.83309	-0.0022826	0.59935	-0.0013032	0.43849	-0.00071722	0.54826	-6.7758E-06	0.84334	-0.0028233	0.61047	-0.0014626	0.45057	-0.00058618	0.35425	-0.00019991	NAN	NAN	0.68176	-0.010084	1.084	-0.00081553	0.86384	-0.002611	0.60756	-0.001047	0.45311	-0.00059944	NAN	NAN	1.1501	-0.01368	1.0271	-0.00023498	0.79897	-0.0037748	0.61935	-0.0020503	0.42775	-0.00057075	NAN	NAN	1.1075	-0.00036239	0.86147	-0.00014955	0.97687	-0.00017797	0.709	-0.00013892	0.82359	-4.1937E-06	0.81859	-6.0007E-05	0.34294	-0.00015639	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0907	-0.0015616	0.86129	-0.0026664	0.59602	-0.0013984	0.45142	-0.00086394	0.54547	-8.5112E-06
B8	11510	4.07	0.1902	-0.00016506	0.11135	-4.3494E-05	0.067443	-1.1871E-05	1.0566	-0.00079745	0.91706	-0.0024865	0.71384	-0.001672	0.57315	-0.0026659	0.41327	-0.00061804	1.0704	-0.00099367	0.92336	-0.002538	0.71361	-0.0016858	0.56776	-0.0029996	0.40526	-0.00065139	0.67766	-0.013091	1.0633	-0.00082003	0.83271	-0.0022787	0.59921	-0.0013026	0.43877	-0.00071082	0.54822	-6.7832E-06	0.84288	-0.0028177	0.61031	-0.0014618	0.45051	-0.00058574	0.35387	-0.00020001	0.29624	-0.000131	0.68003	-0.010025	1.0833	-0.00082043	0.86339	-0.0026048	0.60745	-0.0010463	0.45307	-0.00059858	0.33775	-0.00047101	1.1527	-0.014547	1.0266	-0.0002313	0.79841	-0.0037695	0.61912	-0.0020483	0.42805	-0.00056586	0.32567	-0.00046024	1.1076	-0.00036042	0.86148	-0.00014937	0.97681	-0.00017766	0.70899	-0.00013889	0.82351	-4.4943E-06	0.8185	-5.9987E-05	0.34258	-0.00015419	0.2615	-9.2659E-05	0.18447	-7.8918E-05	0.11297	-5.5267E-05	0.065163	-1.4845E-05	0.34644	0.00027826	0.26619	-9.1597E-05	0.18409	-9.0153E-05	0.11195	-5.231E-05	0.068839	-4.7848E-05	1.0906	-0.0016559	0.86086	-0.0026627	0.59587	-0.0013978	0.45157	-0.00085815	0.54544	-8.4376E-06
